時間,開盤價,最高價,最低價,收盤價,UB2.00,BBandMA16,LB2.00,外資持股,買賣超,投信持股,買賣超,成交量,MA5,MA10,主力持股,買賣超,,
2019-1-24,57.6,59.7,57.6,59.6,59.29,54.39,49.49,671296,7953,22936,21,22538,14421,17244,9763,7153,,
2019-1-25,61.8,61.9,59.3,60,60.27,54.92,49.56,678133,7130,22991,55,24681,15888,18096,10660,897,,
2019-1-28,61,61.8,60.8,60.8,61.26,55.49,49.73,682189,6048,23041,50,17093,17039,18867,13502,2842,,
2019-1-29,60.2,60.2,58.5,58.8,61.57,55.93,50.29,676543,-5600,23261,220,14603,18908,18839,8347,-5155,,
2019-1-30,58.8,60.2,58.8,60.1,61.98,56.46,50.93,676505,1865,23371,110,11080,17999,16296,10908,2561,,
2019-2-11,60.8,60.8,59,59,62.12,56.86,51.61,673442,-3395,23372,1,16727,16837,15629,7775,-3133,,
2019-2-12,59.2,60.1,59.1,60,62.46,57.25,52.04,679122,3558,23372,0,12269,14354,15121,10593,2818,,1
2019-2-13,60.5,60.8,59,60.5,62.74,57.69,52.64,675643,-3469,23394,22,17017,14339,15689,10152,-441,,1
2019-2-14,61,63,60.5,62.1,62.86,58.32,53.77,679432,5041,24013,619,22539,15926,17417,17328,7176,,0
2019-2-15,62.1,62.5,60,60,62.61,58.72,54.82,670261,-11239,24152,139,21775,18065,18032,11234,-6094,,0
2019-2-18,60.5,60.8,60.1,60.2,62.72,58.96,55.2,668919,-1396,22926,-1226,8696,16459,16648,10387,-847,,0
2019-2-19,60.1,60.9,60,60.5,62.54,59.29,56.04,668947,-9,21929,-997,6375,15280,14817,10742,355,,0
2019-2-20,60.2,60.6,60.1,60.6,62.49,59.56,56.62,668170,-510,21939,10,7309,13339,13839,10262,-480,,1
2019-2-21,60.8,61,60.5,60.8,62.51,59.78,57.06,666450,-715,21939,0,7699,10371,13149,10364,102,,1
2019-2-22,60.7,62.5,60.4,60.9,62.23,60.06,57.88,667611,1535,22107,168,18279,9672,13869,10570,206,,1
2019-2-25,61.7,62.3,61.3,61.6,61.98,60.34,58.71,670581,3028,22316,209,12931,10519,13489,9469,-1101,,1
2019-2-26,61.6,62.7,61.6,62,62.26,60.49,58.73,673611,3018,22432,116,17604,12764,14022,11802,2333,,1
2019-2-27,62.8,63.2,62.2,62.2,62.56,60.63,58.7,674044,433,23095,663,18697,15042,14190,12449,647,,1
2019-3-4,67.1,67.1,63.9,64.8,63.68,60.88,58.09,659458,-15413,23364,269,53443,24191,17281,-3988,-16437,,0
2019-3-5,63.9,64.4,63.1,63.1,63.92,61.15,58.38,650919,-10295,23358,-6,21245,24784,17228,-13529,-9541,,0
2019-3-6,61.1,62.3,61.1,61.4,63.95,61.23,58.51,644496,-6892,23358,0,24728,27143,18831,-23645,-10116,,0
2019-3-7,60.8,61.4,60,60,63.84,61.29,58.74,636894,-7602,23232,-126,19289,27480,20122,-32262,-8617,,0
2019-3-8,59.3,60.8,59,60.5,63.82,61.33,58.83,634982,-2469,23232,0,14313,26604,20823,-34193,-1931,,0
2019-3-11,60.5,60.9,60.3,60.4,63.82,61.32,58.81,633989,-1043,23232,0,10884,18092,21141,-36716,-2523,,0
2019-3-12,61.1,61.6,60.8,60.8,63.72,61.24,58.75,634040,661,23232,0,9694,15782,20283,-37253,-537,,0
2019-3-13,60.8,61.2,60.1,60.1,63.71,61.24,58.77,628744,-4645,23182,-50,12593,13355,20249,-41757,-4504,,0
2019-3-14,60.1,60.6,60,60.3,63.71,61.25,58.79,626300,-2731,22954,-228,11313,11759,19620,-45246,-3489,,1
2019-3-15,60.5,60.9,60.1,60.1,63.72,61.23,58.73,625578,-1457,22718,-236,17800,12457,19530,-47528,-2282,,1
2019-3-18,60.5,60.5,59,59.5,63.78,61.16,58.54,620684,-4413,22486,-232,18116,13903,15998,-56385,-8857,,1
2019-3-19,59.8,60.1,59.6,59.7,63.8,61.09,58.38,619554,-1320,22462,-24,8482,13661,14721,-59437,-3052,,1
2019-3-20,59.9,60.7,59.7,60.6,63.79,61.07,58.35,618855,-710,22462,0,11681,13478,13417,-59944,-507,,1
2019-3-21,63.6,63.6,62.1,62.8,63.98,61.14,58.31,634394,15384,22462,0,31768,17569,14664,-49125,10819,,1
2019-3-22,64,64.7,63,63.1,64.18,61.21,58.24,637972,4238,22481,19,25953,19200,15828,-46308,2817,,0
2019-3-25,62,62,60.8,61.1,64.07,61.14,58.22,630151,-7419,22479,-2,16153,18807,16355,-52207,-5899,,0
2019-3-26,61.7,61.8,60.7,61,63.14,60.91,58.67,626474,-3294,22375,-104,11561,19423,16542,-55398,-3191,,0
2019-3-27,61.2,61.6,60.7,61.1,62.71,60.78,58.85,625804,-750,22375,0,7891,18665,16072,-56095,-697,,0
2019-3-28,60.6,60.9,60.2,60.8,62.65,60.74,58.84,624645,-806,22375,0,8786,14069,15819,-57646,-1551,,0
2019-3-29,60.8,61.4,60.8,61.4,62.72,60.83,58.94,625127,470,19632,0,7957,10470,14835,-57261,385,,0
2019-4-1,62.3,62.4,61,61,62.75,60.86,58.98,623217,-3375,19632,0,12308,9701,14254,-59235,-1974,,1
2019-4-2,61.5,62.4,61.2,61.7,62.85,60.94,59.04,626083,2114,19630,-2,17246,10838,15130,-55683,3552,,1
2019-4-3,62,62.5,61.7,62.3,63.05,61.04,59.02,628557,1974,19677,47,10009,11261,14963,-54354,1329,,1
2019-4-8,62.3,63.2,62.1,63,63.38,61.22,59.06,633196,4661,19677,0,17621,13028,13549,-50040,4314,,0
2019-4-9,63.3,63.3,62.5,62.6,63.57,61.36,59.16,633000,-388,19538,-139,6550,12747,11608,-50595,-555,,0
2019-4-10,62.5,62.7,62.1,62.5,63.68,61.51,59.35,631664,-465,19538,0,7158,11717,10709,-50451,144,,1
2019-4-11,62.9,63.2,61.6,61.6,63.54,61.64,59.74,627079,-3066,19535,-3,11718,10611,10724,-53081,-2630,,1
2019-4-12,61.2,61.5,60.4,60.5,63.42,61.69,59.97,623960,-5090,19534,-1,16381,11886,11573,-59031,-5950,,1
2019-4-15,61.1,61.9,60.8,61.7,63.39,61.76,60.13,626856,2796,19530,-4,9143,10190,11609,-56771,2260,,1
2019-4-16,61.9,62.7,61.8,62.7,63.37,61.76,60.14,633982,7206,19522,-8,11865,11253,12000,-50722,6049,,1
