交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
8月6日,240,250,240,248.5,2,0.81,4.06,"58,917","22,358",2.6,144.4,"-4,342",615,852,"-2,875",77.2,-213,"10,234",80,"1,470",14.4
8月5日,251,252,245.5,246.5,-5,-1.99,2.58,"52,836","20,136",2.6,130.9,"-22,096",-428,"2,291","-20,233",77.2,"1,499","10,447",-213,"1,390",13.3
8月2日,252,253.5,250.5,251.5,-5,-1.95,1.17,"54,166","18,096",3,136.3,"-9,355",-235,879,"-8,711",77.3,"-1,264","8,948",-162,"1,603",17.9
8月1日,257.5,257.5,255.5,256.5,-3,-1.16,0.77,"30,108","11,372",2.6,77.2,"-10,675",196,"1,421","-9,058",77.3,806,"10,212",-226,"1,765",17.3
7月31日,260,260,257,259.5,-0.5,-0.19,1.15,"36,366","10,468",3.5,94.1,"1,487",8,"-2,546","-1,051",77.4,327,"9,406",-98,"1,991",21.2
7月30日,262.5,263,260,260,-1,-0.38,1.15,"22,896","7,191",3.2,59.8,-8,174,-540,-374,77.4,48,"9,079",-53,"2,089",23
7月29日,260,262,259.5,261,0,0,0.96,"18,473","6,681",2.8,48.2,"1,111",-1,93,"1,203",77.4,449,"9,031",-43,"2,142",23.7
7月26日,261,262.5,261,261,-4,-1.51,0.57,"20,768","8,850",2.3,54.3,"-3,566",-112,114,"-3,564",77.4,573,"8,582",-190,"2,185",25.5
7月25日,264,265,261.5,265,0,0,1.32,"30,699","10,643",2.9,80.9,"4,899",-229,-107,"4,563",77.4,98,"8,009",-31,"2,375",29.7
7月24日,266.5,266.5,263,265,1,0.38,1.33,"24,511","10,617",2.3,64.8,"6,273",56,"-2,518","3,811",77.4,538,"7,911",62,"2,406",30.4
7月23日,265.5,266.5,262.5,264,0,0,1.52,"29,273","12,791",2.3,77.3,"12,933",46,-456,"12,523",77.3,-386,"7,373",48,"2,344",31.8
7月22日,263,264,262,264,5,1.93,0.77,"31,864","13,424",2.4,83.9,"13,599",388,"-1,196","12,791",77.3,-430,"7,759",259,"2,296",29.6
7月19日,259.5,261,259,259,5,1.97,0.79,"59,880","21,827",2.7,155.7,"24,018",403,"-1,211","23,210",77.3,"-1,552","8,189",365,"2,037",24.9
7月18日,252,254.5,251.5,254,2,0.79,1.19,"20,909","8,245",2.5,53,"-3,751",62,"1,491","-2,198",77.2,279,"9,741",109,"1,672",17.2
7月17日,254,254,251,252,-4,-1.56,1.17,"34,347","11,106",3.1,86.9,"-8,125",-8,962,"-7,171",77.2,340,"9,462",-195,"1,563",16.5
7月16日,254,256.5,253.5,256,1.5,0.59,1.18,"26,141","8,994",2.9,66.8,"5,264",154,-345,"5,073",77.2,408,"9,122",139,"1,758",19.3
7月15日,251,254.5,249.5,254.5,4,1.6,2,"34,264","12,174",2.8,86.6,"5,764",80,-349,"5,495",77.2,89,"8,714",264,"1,619",18.6
7月12日,252,252,249.5,250.5,0.5,0.2,1,"23,868","8,363",2.9,59.8,"9,726",17,-834,"8,909",77.1,-323,"8,625",38,"1,355",15.7
7月11日,250,250,247.5,250,3,1.21,1.01,"31,296","14,360",2.2,78.1,"9,643",237,"-1,315","8,565",77.1,-643,"8,948",226,"1,317",14.7
7月10日,243,247,243,247,5,2.07,1.65,"23,812","12,366",1.9,58.4,-992,293,"1,428",729,77,-651,"9,591",186,"1,091",11.4
7月9日,241.5,243,240.5,242,-0.5,-0.21,1.03,"16,539","6,486",2.5,40,"-6,071",194,31,"-5,846",77,108,"10,242",31,905,8.8
7月8日,240,244.5,240,242.5,-0.5,-0.21,1.85,"29,191","10,552",2.8,70.6,"-9,758",51,"1,380","-8,327",77.1,438,"10,134",6,874,8.6
7月5日,244.5,245,241.5,243,-1,-0.41,1.43,"27,317","9,013",3,66.2,"-6,592",53,520,"-6,019",77.1,394,"9,696",-64,868,9
7月4日,244.5,245,242.5,244,1.5,0.62,1.03,"18,691","8,565",2.2,45.6,"-1,666",251,419,-996,77.1,-145,"9,302",30,932,10
7月3日,244,245,242,242.5,-6.5,-2.61,1.2,"29,550","16,033",1.8,71.9,"-9,801",112,213,"-9,476",77.2,533,"9,447",-335,902,9.5
7月2日,249.5,250,247.5,249,0.5,0.2,1.01,"26,832","12,531",2.1,66.7,-366,967,250,851,77.2,-624,"8,914",55,"1,237",13.9
7月1日,245.5,250,245,248.5,9.5,3.97,2.09,"66,371","29,551",2.2,164.5,"15,151","2,440","-2,635","14,956",77.2,"-1,606","9,538",603,"1,182",12.4
6月28日,241.5,241.5,238,239,-1.5,-0.62,1.46,"28,085","8,987",3.1,67.2,"1,285",195,162,"1,642",77.1,196,"11,144",53,579,5.2
6月27日,236,241.5,236,240.5,6,2.56,2.35,"42,008","14,983",2.8,100.6,"10,863",471,-178,"11,156",77.1,-879,"10,948",273,526,4.8
6月26日,235,236.5,234,234.5,-4,-1.68,1.05,"28,770","13,535",2.1,67.6,"-13,787",123,358,"-13,306",77,"1,326","11,827",-37,253,2.1
6月25日,241,241.5,237,238.5,-2.5,-1.04,1.87,"29,735","11,130",2.7,71.2,157,-32,"-1,426","-1,301",77,-161,"10,501",99,290,2.8
6月24日,241,242,240,241,0.5,0.21,0.83,"43,461","17,780",2.4,104.8,"-9,125",24,"-3,606","-12,707",77,"1,106","10,662",191,191,1.8
6月21日,248,248.5,246,248.5,3.5,1.43,1.02,"62,136","19,049",3.3,154,"14,096",27,270,"14,393",77.1,-506,"9,556",0,0,0
6月20日,242,245.5,241,245,1,0.41,1.84,"39,717","13,879",2.9,97,"3,044",228,"1,107","4,379",77,-346,"10,062",0,0,0
6月19日,242.5,244,240.5,244,8.5,3.61,1.49,"50,234","20,528",2.4,121.8,"11,815",812,"4,080","16,707",77,"-1,773","10,408",-17,0,0
6月18日,234,235.5,233,235.5,2.5,1.07,1.07,"28,798","9,681",3,67.6,"-2,749",132,-214,"-2,831",77,-369,"12,181",-502,17,0.1
6月17日,231.5,235,230.5,233,-3,-1.27,1.91,"51,692","20,943",2.5,120.4,"-19,653",-234,"2,500","-17,388",77,"1,240","12,550",-282,519,4.1
6月14日,238.5,239.5,236,236,-4,-1.67,1.46,"35,404","14,911",2.4,84,"-12,077",-237,"2,436","-9,878",77.2,"1,060","11,310",153,801,7.1
6月13日,242.5,244,240,240,-6,-2.44,1.63,"33,732","13,552",2.5,81.4,"-12,359",-12,"2,194","-10,176",77.3,917,"10,250",-372,648,6.3
6月12日,244.5,247.5,243,246,1.5,0.61,1.84,"30,410","11,457",2.7,74.7,"4,642",-148,-44,"4,450",77.4,-435,"9,333",53,"1,020",10.9
6月11日,240,246,239,244.5,4.5,1.88,2.92,"34,692","13,157",2.6,84.5,"8,090",184,"-1,278","6,996",77.5,-876,"9,768",-100,967,9.9
6月10日,237.5,240,234.5,240,8,3.45,2.37,"35,522","15,588",2.3,84.4,"10,123",30,59,"10,212",77.5,"-1,032","10,644",137,"1,067",10
6月6日,231.5,232,229.5,232,-3,-1.28,1.06,"34,652","14,723",2.4,80.1,"-11,106",-288,-653,"-12,047",77.5,199,"11,676",-193,930,8
6月5日,238,238,234,235,2,0.86,1.72,"35,902","12,064",3,84.6,"-2,526",-311,216,"-2,621",77.5,-2,"11,477",177,"1,123",9.8
6月4日,237.5,238,233,233,-5,-2.1,2.1,"24,443","11,779",2.1,57.5,"-11,080",77,"1,018","-9,985",77.6,598,"11,479",-152,946,8.2
6月3日,235.5,238.5,232,238,2.5,1.06,2.76,"36,687","8,857",4.1,86.5,"5,756",150,-156,"5,750",77.6,-374,"10,881",41,"1,098",10.1
5月31日,232,237.5,231,235.5,4.5,1.95,2.81,"49,163","14,365",3.4,115.6,"-3,387",414,-645,"-3,618",77.6,-930,"11,255",6,"1,057",9.4
5月30日,230,231.5,229,231,1.5,0.65,1.09,"40,375","8,772",4.6,92.9,"-5,035",-146,-42,"-5,223",77.6,347,"12,185",-39,"1,051",8.6
5月29日,228,230.5,227,229.5,-1,-0.43,1.52,"32,260","10,233",3.2,73.9,"-10,009",-344,75,"-10,278",77.6,-208,"11,838",218,"1,090",9.2
5月28日,232,232,230.5,230.5,-0.5,-0.22,0.65,"99,322","10,122",9.8,229.1,"-8,060",49,-56,"-8,067",77.7,12,"12,046",-51,872,7.2
5月27日,234,235,231,231,-2,-0.86,1.72,"37,447","13,895",2.7,87,"-16,629",-125,-87,"-16,841",77.7,651,"12,034",30,924,7.7
5月24日,230,234,230,233,3,1.3,1.74,"38,227","14,586",2.6,88.7,"-14,284",40,-270,"-14,514",77.8,-18,"11,383",56,894,7.9
5月23日,233.5,233.5,230,230,-8,-3.36,1.47,"62,259","24,974",2.5,143.8,"-26,886",-116,"1,545","-25,457",77.8,802,"11,401",-45,838,7.4
5月22日,236.5,240.5,235.5,238,4,1.71,2.14,"36,289","14,019",2.6,86.7,"-6,504",47,-581,"-7,038",77.9,-860,"10,599",72,883,8.3
5月21日,233.5,236,232.5,234,-4,-1.68,1.47,"82,873","25,418",3.3,194.2,"-38,055",-78,"4,145","-33,988",77.9,"1,383","11,459",-309,811,7.1
5月20日,242.5,243,238,238,-3.5,-1.45,2.07,"47,098","13,099",3.6,113,"-14,438",-118,"3,438","-11,118",78.1,85,"10,076",243,"1,120",11.1
5月17日,249,249,241.5,241.5,-5.5,-2.23,3.04,"40,007","15,217",2.6,97.8,"-10,908",-46,"1,028","-9,926",78.1,72,"9,991",-82,877,8.8
5月16日,248.5,249.5,246,247,-2,-0.8,1.41,"30,332","11,402",2.7,75.2,"-9,667",51,132,"-9,484",78.2,54,"9,919",-10,959,9.7
5月15日,251,252,249,249,0.5,0.2,1.21,"37,223","12,041",3.1,93.3,"-12,237",71,"1,746","-10,420",78.2,383,"9,865",-60,969,9.8
5月14日,247.5,251,245,248.5,-2,-0.8,2.4,"45,621","14,283",3.2,113.5,"-7,027",-68,"3,751","-3,344",78.3,222,"9,482",-318,"1,029",10.9
5月13日,253,254,249.5,250.5,-5.5,-2.15,1.76,"29,318","11,974",2.4,73.7,"-4,441",223,"2,441","-1,777",78.3,228,"9,260",22,"1,347",14.5
5月10日,257,259,255,256,-0.5,-0.19,1.56,"18,868","8,009",2.4,48.4,"-4,182",-318,891,"-3,609",78.3,117,"9,032",-11,"1,325",14.7
5月9日,259.5,259.5,256,256.5,-3.5,-1.35,1.35,"34,167","10,995",3.1,88,"-4,700",10,514,"-4,176",78.3,343,"8,915",-138,"1,336",15
5月8日,260,261.5,259.5,260,-2.5,-0.95,0.76,"25,902","7,905",3.3,67.5,"-8,065",-88,"1,415","-6,738",78.3,111,"8,572",-33,"1,474",17.2
5月7日,259.5,263,259,262.5,3.5,1.35,1.54,"25,686","8,339",3.1,67.2,"-3,941",818,388,"-2,735",78.4,-135,"8,461",52,"1,507",17.8
5月6日,260,260,258,259,-6,-2.26,0.75,"33,688","12,535",2.7,87.2,"-7,570",85,364,"-7,121",78.4,529,"8,596",-184,"1,455",16.9
5月3日,262,265,260.5,265,6,2.32,1.74,"30,200","10,068",3,79.4,"11,473",9,-22,"11,461",78.4,-98,"8,067",109,"1,639",20.3
