時間,開盤價,最高價,最低價,收盤價,UB2.00,BBandMA16,LB2.00,外資持股,買賣超,投信持股,買賣超,成交量,MA5,MA10,主力持股,買賣超,,
2019-1-29,116,116,114.5,114.5,117.81,113.22,108.62,12096,9,719,2,176,250,293,289,10,,
2019-1-30,115,117,115,115.5,117.9,113.25,108.6,12120,24,719,0,275,261,303,361,72,,
2019-2-11,117,117,115.5,116.5,118.39,113.5,108.61,12117,-3,719,0,232,256,292,413,52,,
2019-2-12,115.5,128,115.5,125,121.61,114.38,107.14,12138,21,837,118,1703,527,400,635,222,,
2019-2-13,123.5,126,123,125,123.81,115.31,106.81,12102,-36,948,111,748,627,449,712,77,,
2019-2-14,125,134,124,129.5,127.08,116.47,105.86,12137,35,1179,231,1167,825,537,794,82,,
2019-2-15,129,132.5,128,130.5,129.83,117.72,105.61,12148,11,1260,81,505,871,566,842,48,,
2019-2-18,130.5,132,129,130.5,131.83,119.03,106.24,12172,24,1293,33,609,946,601,806,-36,,
2019-2-19,131.5,135,131,133.5,134.34,120.41,106.47,12158,-14,1366,73,699,746,637,937,131,,
2019-2-20,134,134.5,131,131.5,136.09,121.38,106.66,12156,-2,1366,0,363,669,648,949,12,,
2019-2-21,132,132,129.5,130,137.12,122.38,107.63,12176,20,1366,0,218,479,652,929,-20,,
2019-2-22,130,131,128,130,138.04,123.25,108.46,12184,8,1366,0,290,436,653,921,-8,,
2019-2-25,129,130.5,129,130.5,138.84,124.16,109.48,12168,-16,1366,0,195,353,650,923,2,,
2019-2-26,131,131,128,128,138.95,124.97,110.98,12182,14,1366,0,236,260,503,882,-41,,0
2019-2-27,128,128,125,125.5,138.3,125.75,113.21,12232,50,1264,-102,422,272,470,844,-38,,0
2019-3-4,125.5,127.5,125,125.5,137.84,126.34,114.85,12260,26,1217,-47,205,270,374,812,-32,,1
2019-3-5,125,127.5,125,127,136.86,127.13,117.39,12267,7,1192,-25,121,236,336,792,-20,,1
2019-3-6,126.5,131.5,126.5,128,135.57,127.91,120.24,12219,-48,1192,0,304,258,305,802,10,,1
2019-3-7,128,131,127,127,133.54,128.56,123.59,12186,-33,1192,0,361,283,272,836,34,,1
2019-3-8,126.5,128.5,126,126.5,133.41,128.66,123.9,12178,-8,1192,0,104,219,246,825,-11,,1
2019-3-11,126.5,127.5,125.5,125.5,133.35,128.69,124.03,12169,-9,1196,4,87,195,233,810,-15,,1
2019-3-12,126,127.5,125.5,127,133.24,128.53,123.82,12161,-8,1136,-60,201,211,224,770,-40,,1
2019-3-13,127,127,125,126,132.99,128.25,123.51,12155,-6,1086,-50,159,182,220,727,-43,,1
2019-3-14,126,128,125.5,127,132.66,128.03,123.4,12145,-10,1086,0,257,162,222,746,19,,1
